GEOID,NAME,B19013_001E
13089020100,Census Tract 201; DeKalb County; Georgia,160500
13089020200,Census Tract 202; DeKalb County; Georgia,105000
13089020300,Census Tract 203; DeKalb County; Georgia,161855
13089020400,Census Tract 204; DeKalb County; Georgia,176250
13089020500,Census Tract 205; DeKalb County; Georgia,83594
13089020600,Census Tract 206; DeKalb County; Georgia,83205
13089020700,Census Tract 207; DeKalb County; Georgia,93133
13089020801,Census Tract 208.01; DeKalb County; Georgia,167910
13089020802,Census Tract 208.02; DeKalb County; Georgia,112500
13089020901,Census Tract 209.01; DeKalb County; Georgia,99773
13089020902,Census Tract 209.02; DeKalb County; Georgia,92583
13089021101,Census Tract 211.01; DeKalb County; Georgia,250001
13089021103,Census Tract 211.03; DeKalb County; Georgia,137933
13089021104,Census Tract 211.04; DeKalb County; Georgia,112514
13089021204,Census Tract 212.04; DeKalb County; Georgia,35268
13089021208,Census Tract 212.08; DeKalb County; Georgia,80960
13089021210,Census Tract 212.10; DeKalb County; Georgia,213750
13089021211,Census Tract 212.11; DeKalb County; Georgia,151458
13089021213,Census Tract 212.13; DeKalb County; Georgia,220429
13089021217,Census Tract 212.17; DeKalb County; Georgia,119531
13089021219,Census Tract 212.19; DeKalb County; Georgia,177946
13089021220,Census Tract 212.20; DeKalb County; Georgia,114836
13089021221,Census Tract 212.21; DeKalb County; Georgia,117831
13089021222,Census Tract 212.22; DeKalb County; Georgia,84503
13089021223,Census Tract 212.23; DeKalb County; Georgia,125824
13089021224,Census Tract 212.24; DeKalb County; Georgia,58178
13089021225,Census Tract 212.25; DeKalb County; Georgia,66591
13089021226,Census Tract 212.26; DeKalb County; Georgia,59387
13089021227,Census Tract 212.27; DeKalb County; Georgia,98525
13089021228,Census Tract 212.28; DeKalb County; Georgia,250001
13089021229,Census Tract 212.29; DeKalb County; Georgia,169531
13089021230,Census Tract 212.30; DeKalb County; Georgia,112717
13089021301,Census Tract 213.01; DeKalb County; Georgia,59913
13089021305,Census Tract 213.05; DeKalb County; Georgia,54100
13089021306,Census Tract 213.06; DeKalb County; Georgia,60971
13089021307,Census Tract 213.07; DeKalb County; Georgia,73310
13089021308,Census Tract 213.08; DeKalb County; Georgia,68162
13089021309,Census Tract 213.09; DeKalb County; Georgia,34610
13089021310,Census Tract 213.10; DeKalb County; Georgia,37003
13089021405,Census Tract 214.05; DeKalb County; Georgia,153529
13089021409,Census Tract 214.09; DeKalb County; Georgia,76964
13089021410,Census Tract 214.10; DeKalb County; Georgia,78192
13089021411,Census Tract 214.11; DeKalb County; Georgia,127764
13089021412,Census Tract 214.12; DeKalb County; Georgia,163077
13089021415,Census Tract 214.15; DeKalb County; Georgia,106789
13089021416,Census Tract 214.16; DeKalb County; Georgia,123942
13089021417,Census Tract 214.17; DeKalb County; Georgia,71540
13089021418,Census Tract 214.18; DeKalb County; Georgia,50000
13089021419,Census Tract 214.19; DeKalb County; Georgia,81680
13089021420,Census Tract 214.20; DeKalb County; Georgia,52419
13089021421,Census Tract 214.21; DeKalb County; Georgia,85494
13089021502,Census Tract 215.02; DeKalb County; Georgia,105676
13089021503,Census Tract 215.03; DeKalb County; Georgia,74783
13089021505,Census Tract 215.05; DeKalb County; Georgia,101563
13089021506,Census Tract 215.06; DeKalb County; Georgia,109360
13089021602,Census Tract 216.02; DeKalb County; Georgia,122697
13089021604,Census Tract 216.04; DeKalb County; Georgia,182105
13089021606,Census Tract 216.06; DeKalb County; Georgia,84865
13089021607,Census Tract 216.07; DeKalb County; Georgia,98306
13089021608,Census Tract 216.08; DeKalb County; Georgia,65385
13089021609,Census Tract 216.09; DeKalb County; Georgia,143317
13089021703,Census Tract 217.03; DeKalb County; Georgia,184583
13089021707,Census Tract 217.07; DeKalb County; Georgia,137708
13089021708,Census Tract 217.08; DeKalb County; Georgia,81739
13089021709,Census Tract 217.09; DeKalb County; Georgia,66250
13089021710,Census Tract 217.10; DeKalb County; Georgia,164167
13089021711,Census Tract 217.11; DeKalb County; Georgia,72112
13089021712,Census Tract 217.12; DeKalb County; Georgia,43102
13089021808,Census Tract 218.08; DeKalb County; Georgia,122135
13089021812,Census Tract 218.12; DeKalb County; Georgia,76750
13089021813,Census Tract 218.13; DeKalb County; Georgia,51199
13089021815,Census Tract 218.15; DeKalb County; Georgia,46745
13089021816,Census Tract 218.16; DeKalb County; Georgia,103086
