GEOID,NAME,B01003_001E
13089020100,Census Tract 201; DeKalb County; Georgia,2198
13089020200,Census Tract 202; DeKalb County; Georgia,1960
13089020300,Census Tract 203; DeKalb County; Georgia,4504
13089020400,Census Tract 204; DeKalb County; Georgia,2709
13089020500,Census Tract 205; DeKalb County; Georgia,3688
13089020600,Census Tract 206; DeKalb County; Georgia,2439
13089020700,Census Tract 207; DeKalb County; Georgia,2909
13089020801,Census Tract 208.01; DeKalb County; Georgia,3152
13089020802,Census Tract 208.02; DeKalb County; Georgia,4253
13089020901,Census Tract 209.01; DeKalb County; Georgia,3027
13089020902,Census Tract 209.02; DeKalb County; Georgia,2738
13089021101,Census Tract 211.01; DeKalb County; Georgia,5097
13089021103,Census Tract 211.03; DeKalb County; Georgia,4981
13089021104,Census Tract 211.04; DeKalb County; Georgia,1912
13089021204,Census Tract 212.04; DeKalb County; Georgia,2973
13089021208,Census Tract 212.08; DeKalb County; Georgia,4839
13089021210,Census Tract 212.10; DeKalb County; Georgia,5892
13089021211,Census Tract 212.11; DeKalb County; Georgia,4787
13089021213,Census Tract 212.13; DeKalb County; Georgia,3593
13089021217,Census Tract 212.17; DeKalb County; Georgia,2919
13089021219,Census Tract 212.19; DeKalb County; Georgia,4827
13089021220,Census Tract 212.20; DeKalb County; Georgia,3655
13089021221,Census Tract 212.21; DeKalb County; Georgia,2900
13089021222,Census Tract 212.22; DeKalb County; Georgia,5045
13089021223,Census Tract 212.23; DeKalb County; Georgia,1876
13089021224,Census Tract 212.24; DeKalb County; Georgia,3983
13089021225,Census Tract 212.25; DeKalb County; Georgia,2523
13089021226,Census Tract 212.26; DeKalb County; Georgia,3148
13089021227,Census Tract 212.27; DeKalb County; Georgia,5615
13089021228,Census Tract 212.28; DeKalb County; Georgia,3486
13089021229,Census Tract 212.29; DeKalb County; Georgia,3441
13089021230,Census Tract 212.30; DeKalb County; Georgia,3947
13089021301,Census Tract 213.01; DeKalb County; Georgia,3617
13089021305,Census Tract 213.05; DeKalb County; Georgia,5436
13089021306,Census Tract 213.06; DeKalb County; Georgia,5182
13089021307,Census Tract 213.07; DeKalb County; Georgia,3813
13089021308,Census Tract 213.08; DeKalb County; Georgia,3940
