locationid,countyname,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,year,datasource
13089020100,DeKalb,8.9,7.8,10.0,2140,2023,BRFSS
13089020200,DeKalb,8.9,7.9,10.0,2202,2023,BRFSS
13089020300,DeKalb,9.3,8.2,10.5,4036,2023,BRFSS
13089020400,DeKalb,8.9,7.9,10.1,2555,2023,BRFSS
13089020500,DeKalb,9.7,8.6,10.9,3384,2023,BRFSS
13089020600,DeKalb,10.4,9.2,11.7,2843,2023,BRFSS
13089020700,DeKalb,10.0,8.8,11.2,2536,2023,BRFSS
13089020801,DeKalb,9.3,8.2,10.5,2673,2023,BRFSS
13089020802,DeKalb,10.5,9.3,11.8,4226,2023,BRFSS
13089020901,DeKalb,9.4,8.3,10.5,3456,2023,BRFSS
13089020902,DeKalb,10.3,9.1,11.5,2752,2023,BRFSS
13089021101,DeKalb,8.6,7.6,9.7,3990,2023,BRFSS
13089021103,DeKalb,9.5,8.4,10.7,5106,2023,BRFSS
13089021104,DeKalb,9.6,8.5,10.8,2138,2023,BRFSS
13089021204,DeKalb,9.1,7.9,10.3,4205,2023,BRFSS
13089021208,DeKalb,8.7,7.7,9.8,4349,2023,BRFSS
13089021210,DeKalb,8.6,7.6,9.7,6109,2023,BRFSS
13089021211,DeKalb,8.4,7.5,9.4,4897,2023,BRFSS
13089021213,DeKalb,8.4,7.4,9.5,3529,2023,BRFSS
13089021217,DeKalb,8.6,7.6,9.7,2701,2023,BRFSS
13089021219,DeKalb,8.5,7.5,9.6,4308,2023,BRFSS
13089021220,DeKalb,8.8,7.8,9.8,3258,2023,BRFSS
13089021221,DeKalb,8.6,7.6,9.6,2613,2023,BRFSS
13089021222,DeKalb,8.8,7.8,9.8,4325,2023,BRFSS
13089021223,DeKalb,6.9,6.0,7.7,2405,2023,BRFSS
13089021224,DeKalb,9.5,8.5,10.7,3824,2023,BRFSS
13089021225,DeKalb,9.6,8.4,10.7,2131,2023,BRFSS
13089021226,DeKalb,8.7,7.7,9.7,3267,2023,BRFSS
13089021227,DeKalb,8.2,7.3,9.2,5766,2023,BRFSS
13089021228,DeKalb,8.6,7.6,9.7,3094,2023,BRFSS
13089021229,DeKalb,8.4,7.4,9.4,3006,2023,BRFSS
13089021230,DeKalb,6.9,6.1,7.7,4448,2023,BRFSS
13089021301,DeKalb,10.0,8.9,11.3,4101,2023,BRFSS
13089021305,DeKalb,9.6,8.5,10.9,5526,2023,BRFSS
13089021306,DeKalb,8.9,7.9,10.0,6076,2023,BRFSS
13089021307,DeKalb,8.8,7.8,9.8,3951,2023,BRFSS
13089021308,DeKalb,8.9,7.8,10.0,4380,2023,BRFSS
13089021309,DeKalb,9.2,8.1,10.4,2099,2023,BRFSS
13089021310,DeKalb,8.7,7.7,9.8,4272,2023,BRFSS
13089021405,DeKalb,8.7,7.7,9.9,4949,2023,BRFSS
13089021409,DeKalb,9.7,8.6,10.9,3464,2023,BRFSS
13089021410,DeKalb,8.9,7.9,10.0,5204,2023,BRFSS
13089021411,DeKalb,8.8,7.8,9.9,3768,2023,BRFSS
13089021412,DeKalb,8.6,7.6,9.6,4050,2023,BRFSS
13089021415,DeKalb,8.6,7.6,9.7,4175,2023,BRFSS
13089021416,DeKalb,8.8,7.8,9.9,2278,2023,BRFSS
13089021417,DeKalb,9.3,8.2,10.4,4310,2023,BRFSS
13089021418,DeKalb,9.5,8.3,10.7,2477,2023,BRFSS
13089021419,DeKalb,10.0,8.8,11.4,2420,2023,BRFSS
13089021420,DeKalb,9.4,8.2,10.6,2163,2023,BRFSS
13089021421,DeKalb,8.3,7.2,9.3,2517,2023,BRFSS
13089021502,DeKalb,8.9,7.9,9.9,5503,2023,BRFSS
13089021503,DeKalb,8.9,7.9,10.0,4308,2023,BRFSS
13089021505,DeKalb,9.2,8.2,10.3,3394,2023,BRFSS
13089021506,DeKalb,8.7,7.7,9.8,3264,2023,BRFSS
13089021602,DeKalb,8.7,7.6,9.7,4147,2023,BRFSS
13089021604,DeKalb,8.3,7.3,9.3,3400,2023,BRFSS
13089021606,DeKalb,8.9,7.9,9.9,3615,2023,BRFSS
13089021607,DeKalb,9.1,8.0,10.1,1947,2023,BRFSS
13089021608,DeKalb,9.6,8.5,10.7,4342,2023,BRFSS
13089021609,DeKalb,8.6,7.5,9.6,2212,2023,BRFSS
13089021703,DeKalb,8.5,7.5,9.6,4834,2023,BRFSS
13089021707,DeKalb,8.4,7.4,9.4,2953,2023,BRFSS
13089021708,DeKalb,9.7,8.6,10.8,3584,2023,BRFSS
13089021709,DeKalb,9.4,8.3,10.5,3286,2023,BRFSS
13089021710,DeKalb,8.4,7.5,9.5,3139,2023,BRFSS
13089021711,DeKalb,9.0,7.9,10.0,2903,2023,BRFSS
13089021712,DeKalb,10.0,8.8,11.3,2744,2023,BRFSS
13089021808,DeKalb,9.4,8.3,10.6,5069,2023,BRFSS
13089021812,DeKalb,9.2,8.1,10.3,2477,2023,BRFSS
13089021813,DeKalb,10.6,9.3,11.9,2771,2023,BRFSS
13089021815,DeKalb,10.9,9.7,12.2,4095,2023,BRFSS
13089021816,DeKalb,9.0,8.0,10.1,2844,2023,BRFSS
13089021817,DeKalb,9.6,8.5,10.8,2097,2023,BRFSS
13089021818,DeKalb,9.5,8.4,10.6,4781,2023,BRFSS
13089021819,DeKalb,8.7,7.7,9.7,3523,2023,BRFSS
13089021820,DeKalb,10.0,8.8,11.2,2367,2023,BRFSS
13089021821,DeKalb,8.7,7.7,9.7,3203,2023,BRFSS
13089021822,DeKalb,9.3,8.2,10.4,3837,2023,BRFSS
13089021823,DeKalb,9.3,8.3,10.4,3633,2023,BRFSS
13089021824,DeKalb,10.6,9.3,11.8,2812,2023,BRFSS
13089021906,DeKalb,12.2,10.8,13.6,5628,2023,BRFSS
13089021908,DeKalb,11.8,10.5,13.3,5528,2023,BRFSS
13089021910,DeKalb,10.9,9.7,12.2,5841,2023,BRFSS
13089021911,DeKalb,13.0,11.5,14.7,2382,2023,BRFSS
13089021912,DeKalb,9.2,8.1,10.3,3613,2023,BRFSS
13089021913,DeKalb,13.3,11.8,15.0,4854,2023,BRFSS
13089021914,DeKalb,11.4,10.1,12.7,4343,2023,BRFSS
13089021915,DeKalb,10.3,9.1,11.6,4869,2023,BRFSS
13089021916,DeKalb,11.7,10.4,13.2,3616,2023,BRFSS
13089021917,DeKalb,11.7,10.4,13.2,3643,2023,BRFSS
13089022001,DeKalb,9.6,8.5,10.8,4571,2023,BRFSS
13089022005,DeKalb,10.8,9.6,12.0,5047,2023,BRFSS
13089022007,DeKalb,11.6,10.2,13.0,4431,2023,BRFSS
13089022010,DeKalb,9.8,8.7,11.0,2485,2023,BRFSS
13089022011,DeKalb,11.2,9.9,12.5,4744,2023,BRFSS
13089022012,DeKalb,10.2,9.1,11.5,4310,2023,BRFSS
13089022013,DeKalb,12.3,10.9,13.9,3790,2023,BRFSS
13089022014,DeKalb,12.9,11.4,14.6,2667,2023,BRFSS
13089022015,DeKalb,9.9,8.9,11.2,2109,2023,BRFSS
13089022016,DeKalb,10.7,9.4,12.0,3612,2023,BRFSS
13089022100,DeKalb,11.2,9.9,12.6,4176,2023,BRFSS
13089022203,DeKalb,9.4,8.4,10.5,2435,2023,BRFSS
13089022205,DeKalb,9.7,8.6,10.8,3579,2023,BRFSS
13089022206,DeKalb,9.0,8.0,10.1,4097,2023,BRFSS
13089022302,DeKalb,9.2,8.2,10.3,4538,2023,BRFSS
13089022303,DeKalb,8.9,7.9,10.0,3236,2023,BRFSS
13089022304,DeKalb,8.9,7.9,9.9,3214,2023,BRFSS
13089022401,DeKalb,8.9,7.9,10.1,4498,2023,BRFSS
13089022403,DeKalb,8.6,7.6,9.6,4119,2023,BRFSS
13089022404,DeKalb,11.1,9.8,12.4,4108,2023,BRFSS
13089022405,DeKalb,10.6,9.4,11.9,2788,2023,BRFSS
13089022501,DeKalb,9.8,8.7,11.0,3960,2023,BRFSS
13089022502,DeKalb,8.7,7.6,9.7,2861,2023,BRFSS
13089022601,DeKalb,9.2,8.1,10.3,4788,2023,BRFSS
13089022602,DeKalb,9.2,8.2,10.3,2475,2023,BRFSS
13089022700,DeKalb,9.6,8.5,10.9,5425,2023,BRFSS
13089022800,DeKalb,10.0,8.9,11.3,4297,2023,BRFSS
13089022900,DeKalb,9.3,8.3,10.4,4544,2023,BRFSS
13089023000,DeKalb,9.4,8.3,10.6,2182,2023,BRFSS
13089023101,DeKalb,10.9,9.6,12.2,4281,2023,BRFSS
13089023102,DeKalb,10.9,9.6,12.1,3289,2023,BRFSS
13089023107,DeKalb,10.9,9.8,12.3,4482,2023,BRFSS
13089023108,DeKalb,12.5,11.1,14.0,4429,2023,BRFSS
13089023111,DeKalb,11.8,10.5,13.1,1870,2023,BRFSS
13089023112,DeKalb,12.1,10.7,13.6,3480,2023,BRFSS
13089023113,DeKalb,10.3,9.1,11.5,2985,2023,BRFSS
13089023114,DeKalb,10.8,9.6,12.1,2948,2023,BRFSS
13089023115,DeKalb,8.7,7.6,9.8,1395,2023,BRFSS
13089023209,DeKalb,11.0,9.7,12.3,5582,2023,BRFSS
13089023211,DeKalb,11.5,10.1,12.9,3324,2023,BRFSS
13089023212,DeKalb,11.5,10.2,12.9,3766,2023,BRFSS
13089023213,DeKalb,12.4,10.9,13.9,5754,2023,BRFSS
13089023214,DeKalb,12.3,10.8,13.8,6326,2023,BRFSS
13089023215,DeKalb,12.1,10.7,13.6,4638,2023,BRFSS
13089023216,DeKalb,11.3,10.1,12.7,3473,2023,BRFSS
13089023217,DeKalb,11.5,10.1,13.0,3907,2023,BRFSS
13089023218,DeKalb,12.2,10.9,13.7,3011,2023,BRFSS
13089023219,DeKalb,11.1,9.8,12.5,3689,2023,BRFSS
13089023220,DeKalb,11.2,9.9,12.7,3703,2023,BRFSS
13089023221,DeKalb,11.2,9.9,12.6,3064,2023,BRFSS
13089023222,DeKalb,12.3,11.0,13.9,3591,2023,BRFSS
13089023311,DeKalb,11.5,10.2,12.9,4300,2023,BRFSS
13089023313,DeKalb,12.0,10.6,13.4,4933,2023,BRFSS
13089023315,DeKalb,11.7,10.4,13.2,6559,2023,BRFSS
13089023317,DeKalb,12.6,11.2,14.1,3844,2023,BRFSS
13089023318,DeKalb,11.1,9.8,12.5,3870,2023,BRFSS
13089023319,DeKalb,12.6,11.1,14.2,3296,2023,BRFSS
13089023320,DeKalb,13.4,11.8,15.2,3558,2023,BRFSS
13089023321,DeKalb,12.6,11.1,14.1,4141,2023,BRFSS
13089023322,DeKalb,12.5,11.1,14.1,3004,2023,BRFSS
13089023323,DeKalb,11.3,10.1,12.7,3792,2023,BRFSS
13089023324,DeKalb,10.9,9.6,12.2,3391,2023,BRFSS
13089023325,DeKalb,11.2,9.9,12.5,4928,2023,BRFSS
13089023326,DeKalb,11.6,10.3,13.1,3292,2023,BRFSS
13089023327,DeKalb,12.1,10.7,13.6,6024,2023,BRFSS
13089023328,DeKalb,13.1,11.7,14.6,4641,2023,BRFSS
13089023329,DeKalb,11.4,10.0,12.8,4318,2023,BRFSS
